epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9616,0.88115,3.3762,1.31997,0.00387,0.91667,0.15185,0.08481,0.99308,3.36065,1.26169,4.287e-05,4.287e-05,4.287e-05
2,2.92925,1.14526,3.4677,1.57964,0.00384,0.91667,0.21941,0.15082,0.96266,3.2978,1.23963,9.90397e-05,9.90397e-05,9.90397e-05
3,3.92562,0.88786,3.17024,1.35855,0.00408,1,0.49169,0.32511,0.81157,3.05758,0.9926,0.000154078,0.000154078,0.000154078
4,4.95637,0.59092,2.64947,1.16498,0.00409,1,0.64421,0.44287,0.76923,2.89958,0.92462,0.000207984,0.000207984,0.000207984
5,5.91703,0.64012,2.24443,1.12201,0.00519,1,0.71251,0.46696,0.78301,2.82081,0.92907,0.000260758,0.000260758,0.000260758
6,6.81328,0.92614,1.90297,1.31992,0.00592,1,0.75897,0.47343,0.79677,2.78337,0.94808,0.000312401,0.000312401,0.000312401
7,7.72225,0.78989,1.70129,1.17439,0.00728,1,0.70305,0.46308,0.85099,2.82956,0.97698,0.000362912,0.000362912,0.000362912
8,8.61881,0.77436,1.98125,1.13164,0.00859,1,0.713,0.48705,0.8845,2.68818,1.02332,0.000412291,0.000412291,0.000412291
9,9.59066,0.75642,1.60488,1.14215,0.00726,1,0.87684,0.6339,0.80742,2.50579,0.90392,0.000460538,0.000460538,0.000460538
10,10.5068,0.63854,1.47049,1.05395,1,0.64436,0.96722,0.7201,0.81643,2.15908,0.91497,0.000507654,0.000507654,0.000507654
11,11.4622,0.69,1.49856,1.11311,1,0.66238,0.97071,0.75703,0.79179,2.15693,0.91213,0.000553637,0.000553637,0.000553637
12,12.3705,0.73251,1.43336,1.04077,0.77107,0.58333,0.89139,0.67363,0.9068,2.26765,1.01467,0.000598489,0.000598489,0.000598489
13,13.36,0.60825,1.27286,1.06103,0.79908,0.46615,0.79409,0.60227,0.98174,2.27067,1.10924,0.00064221,0.00064221,0.00064221
14,14.3875,0.67256,1.2797,1.0958,0.75263,0.79235,0.90922,0.67053,1.00299,2.03039,1.0667,0.000684798,0.000684798,0.000684798
15,15.3402,0.83239,1.54717,1.12763,0.6219,0.7077,0.88036,0.65786,1.1051,2.10098,1.29093,0.000726255,0.000726255,0.000726255
16,16.2494,0.69268,1.774,1.01351,0.47246,0.61927,0.77815,0.51394,1.02651,2.86202,1.2019,0.00076658,0.00076658,0.00076658
17,17.2041,0.74817,1.44624,1.12463,0.9856,0.33333,0.78446,0.55993,1.06498,2.6795,1.48289,0.000805773,0.000805773,0.000805773
18,18.1285,0.66118,1.31413,1.06336,0.74109,0.61111,0.84637,0.5551,1.07603,2.25355,1.35509,0.000843835,0.000843835,0.000843835
19,18.9921,0.71349,1.45621,1.04195,0.84599,0.63082,0.91176,0.6665,1.04708,1.98118,1.32577,0.000880764,0.000880764,0.000880764
20,19.8951,0.78216,1.3437,1.15667,0.84775,0.85535,0.97071,0.68195,1.05511,1.53951,1.23277,0.000916562,0.000916562,0.000916562
21,20.814,0.60934,1.43166,1.03901,0.68649,0.91377,0.93417,0.60707,1.04269,1.71921,1.26525,0.000951228,0.000951228,0.000951228
