epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.35386,1.65809,3.56144,3.12005,0.00431,0.8381,0.03591,0.01811,1.28628,3.9235,2.78385,4.287e-05,4.287e-05,4.287e-05
2,7.78812,1.66586,3.6757,3.33702,0.00545,1,0.05088,0.02963,1.18443,3.72741,2.59027,9.90397e-05,9.90397e-05,9.90397e-05
3,10.4068,1.45953,3.17581,2.93464,0.32282,0.23663,0.38363,0.2629,0.8891,2.99443,2.29239,0.000154078,0.000154078,0.000154078
4,13.9249,1.12092,2.54515,2.42709,0.29735,0.5614,0.43885,0.338,0.93062,2.62241,2.31464,0.000207984,0.000207984,0.000207984
5,16.3484,1.30685,2.38473,2.96645,0.35441,0.90553,0.52615,0.39083,0.84395,2.46635,2.27031,0.000260758,0.000260758,0.000260758
6,18.7509,1.09859,2.10938,2.57776,0.49945,0.81111,0.64843,0.41561,0.79036,2.46501,2.18785,0.000312401,0.000312401,0.000312401
7,20.7168,1.27043,1.99576,2.81966,0.44116,0.83794,0.56357,0.40327,0.77624,2.58794,2.20853,0.000362912,0.000362912,0.000362912
8,22.8714,1.04519,1.85281,2.62541,0.49547,0.82222,0.61416,0.42355,0.7616,2.908,2.20091,0.000412291,0.000412291,0.000412291
9,25.0712,0.99055,1.71598,2.58439,0.50676,0.93333,0.63413,0.46346,0.73075,2.56964,2.15379,0.000460538,0.000460538,0.000460538
10,27.9042,1.03128,1.58107,2.54751,0.64501,0.9062,0.81862,0.5978,0.69043,2.25974,2.05046,0.000507654,0.000507654,0.000507654
11,30.3142,1.09549,1.50205,2.74928,0.73054,0.87778,0.85276,0.61656,0.63682,2.22781,1.95873,0.000553637,0.000553637,0.000553637
12,32.52,0.9568,1.34589,2.58717,0.79673,0.87778,0.88402,0.63667,0.67577,2.03133,2.01311,0.000598489,0.000598489,0.000598489
13,34.5988,1.02897,1.40935,2.77394,0.87797,0.81704,0.92536,0.68152,0.72238,1.97319,1.99772,0.00064221,0.00064221,0.00064221
14,36.3394,0.9782,1.27041,2.63186,0.68308,0.80178,0.79665,0.60888,0.71711,2.08649,2.04154,0.000684798,0.000684798,0.000684798
15,38.2515,1.02398,1.2267,2.64657,0.66704,0.85185,0.79551,0.61219,0.77265,1.85609,2.14311,0.000726255,0.000726255,0.000726255
16,39.9801,0.8729,1.11785,2.46694,0.66552,0.88076,0.83944,0.63855,0.84076,1.6803,2.25895,0.00076658,0.00076658,0.00076658
17,42.0559,1.03804,1.25435,2.74879,0.79338,0.84414,0.8802,0.67718,0.88819,1.67685,2.41373,0.000805773,0.000805773,0.000805773
18,43.9394,0.93399,1.05543,2.59952,0.73097,0.94444,0.94992,0.73899,0.80294,2.26441,2.31475,0.000843835,0.000843835,0.000843835
19,45.4733,0.94379,1.05372,2.52111,0.76031,0.94444,0.9382,0.74357,0.77418,2.20747,2.17311,0.000880764,0.000880764,0.000880764
20,47.1264,0.9402,1.01738,2.5846,0.80211,0.94444,0.91222,0.70511,0.79365,1.90661,2.20128,0.000916562,0.000916562,0.000916562
21,48.7212,0.86076,0.93711,2.35375,0.80949,0.95775,0.935,0.68835,0.84804,1.32782,2.73144,0.000951228,0.000951228,0.000951228
22,50.2353,0.89606,0.97949,2.53149,0.83186,0.98269,0.93111,0.72201,0.71828,0.99578,2.53084,0.000984762,0.000984762,0.000984762
23,51.7095,0.9169,0.99615,2.51503,0.90771,0.87604,0.93197,0.78378,0.62659,0.93103,2.19332,0.00101717,0.00101717,0.00101717
24,53.21,0.87703,0.92213,2.48141,0.85049,0.91614,0.92167,0.78397,0.62155,0.95227,2.18516,0.00104844,0.00104844,0.00104844
25,54.6683,0.9407,0.95954,2.59664,0.89995,0.97523,0.94929,0.7913,0.66787,0.90394,2.18382,0.00107857,0.00107857,0.00107857
26,56.2045,0.87293,0.90994,2.64629,0.92474,0.97655,0.96167,0.76683,0.65151,0.90048,2.31213,0.00107532,0.00107532,0.00107532
27,57.7235,0.8649,0.86035,2.48617,0.87907,0.99962,0.9569,0.78389,0.6439,0.83681,2.39787,0.00106118,0.00106118,0.00106118
28,59.1475,0.72843,0.83034,2.3589,0.85257,0.98941,0.95667,0.80255,0.68075,0.97284,2.43073,0.00104703,0.00104703,0.00104703
29,60.5043,0.83889,0.84257,2.43542,0.79734,1,0.95864,0.80848,0.66431,1.43517,2.46275,0.00103288,0.00103288,0.00103288
30,61.9883,0.75954,0.86455,2.22812,0.83493,0.99296,0.97595,0.84486,0.62057,1.19107,2.34955,0.00101873,0.00101873,0.00101873
31,63.4869,0.84397,0.88316,2.53817,0.90101,0.97754,0.97278,0.83483,0.60182,0.85931,2.24097,0.00100459,0.00100459,0.00100459
32,64.9382,0.78643,0.77255,2.21999,0.8887,0.98997,0.96167,0.77,0.66216,0.91346,2.21033,0.00099044,0.00099044,0.00099044
33,67.1951,0.8096,0.84358,2.38223,0.8475,1,0.90333,0.71634,0.73572,0.93409,2.20172,0.000976293,0.000976293,0.000976293
34,68.5509,0.65602,0.69361,2.13058,0.84421,0.89255,0.86643,0.67293,0.79805,0.99028,2.20043,0.000962146,0.000962146,0.000962146
35,69.9,0.67486,0.74256,2.21292,0.88934,0.91933,0.91262,0.66009,0.7951,1.03988,2.13629,0.000947999,0.000947999,0.000947999
36,71.3013,0.80051,0.82842,2.62704,0.86265,0.8381,0.8912,0.71167,0.70237,1.03138,1.97739,0.000933851,0.000933851,0.000933851
37,73.5601,0.80171,0.7747,2.43243,0.88135,0.90476,0.90357,0.74098,0.65261,1.01321,1.92197,0.000919704,0.000919704,0.000919704
38,74.8092,0.83899,0.76832,2.38441,0.90229,0.89903,0.9258,0.76993,0.64197,0.99654,1.92687,0.000905557,0.000905557,0.000905557
39,76.039,0.76545,0.70978,2.40127,0.9275,0.92214,0.96444,0.81295,0.61939,0.89317,1.92673,0.00089141,0.00089141,0.00089141
40,77.8818,0.75885,0.70049,2.40202,0.93545,0.9222,0.96444,0.81829,0.58655,0.71993,1.94852,0.000877263,0.000877263,0.000877263
41,79.4052,0.64603,0.66675,2.23273,0.92238,0.95492,0.98389,0.82328,0.61504,0.65375,1.9697,0.000863116,0.000863116,0.000863116
42,80.8616,0.69849,0.66222,2.33955,0.97602,0.96146,0.995,0.8488,0.59407,0.63253,1.9843,0.000848969,0.000848969,0.000848969
43,82.2682,0.76997,0.71536,2.37258,0.98356,0.93333,0.98389,0.81588,0.60311,0.64015,2.09505,0.000834822,0.000834822,0.000834822
44,83.8876,0.62795,0.6231,2.22684,0.98055,0.93333,0.98389,0.82115,0.64849,0.64502,2.19406,0.000820675,0.000820675,0.000820675
45,85.2383,0.67204,0.65816,2.32553,0.97611,0.98886,0.995,0.83621,0.61378,0.61671,2.18768,0.000806528,0.000806528,0.000806528
46,86.5543,0.62506,0.63178,2.13973,0.96949,0.9895,0.995,0.86517,0.56161,0.59636,2.16377,0.00079238,0.00079238,0.00079238
47,87.7671,0.68106,0.63833,2.37823,0.96238,0.99376,0.995,0.88478,0.5196,0.56177,2.10762,0.000778233,0.000778233,0.000778233
48,89.0904,0.65741,0.60732,2.46617,0.95947,0.98945,0.995,0.90888,0.45994,0.51539,2.11799,0.000764086,0.000764086,0.000764086
49,90.2359,0.70613,0.69013,2.4943,0.96562,1,0.995,0.90903,0.45498,0.48898,2.15664,0.000749939,0.000749939,0.000749939
50,91.3268,0.60373,0.57831,2.1574,0.96301,0.99402,0.995,0.87664,0.45962,0.48915,2.14095,0.000735792,0.000735792,0.000735792
51,92.4585,0.59647,0.60207,2.1957,0.96187,0.98647,0.995,0.86663,0.49244,0.51315,2.19741,0.000721645,0.000721645,0.000721645
52,93.5367,0.65593,0.62817,2.22578,0.96939,0.882,0.92862,0.82401,0.53193,0.55185,2.20582,0.000707498,0.000707498,0.000707498
53,94.6043,0.63403,0.60391,2.16096,0.98799,0.79234,0.85824,0.78257,0.56976,0.61449,2.21292,0.000693351,0.000693351,0.000693351
54,95.6608,0.56523,0.53626,2.15218,0.76249,1,0.86975,0.76223,0.56133,0.66265,2.19161,0.000679204,0.000679204,0.000679204
55,96.7795,0.56118,0.49925,2.07494,0.8132,0.96725,0.90611,0.78988,0.53102,0.67307,2.18947,0.000665057,0.000665057,0.000665057
56,98.1231,0.59554,0.53496,2.24142,0.97903,1,0.995,0.85473,0.47854,0.58969,2.12324,0.000650909,0.000650909,0.000650909
57,99.2022,0.59836,0.55532,2.33109,0.99126,0.97514,0.995,0.89237,0.4575,0.52422,2.07999,0.000636762,0.000636762,0.000636762
58,100.27,0.60396,0.5886,2.15773,0.96247,0.99285,0.995,0.90801,0.42939,0.50289,2.02892,0.000622615,0.000622615,0.000622615
59,101.387,0.67086,0.60123,2.25888,0.95373,0.99346,0.995,0.9222,0.41721,0.51022,2.00158,0.000608468,0.000608468,0.000608468
60,102.655,0.62538,0.62215,2.28958,0.94088,0.99468,0.995,0.90898,0.42297,0.50977,1.99914,0.000594321,0.000594321,0.000594321
61,103.925,0.62536,0.58763,2.4102,0.90386,1,0.995,0.92454,0.42812,0.50779,1.94431,0.000580174,0.000580174,0.000580174
62,105.205,0.55869,0.55265,2.20287,0.90954,1,0.995,0.90906,0.41465,0.49228,1.90397,0.000566027,0.000566027,0.000566027
63,106.374,0.54916,0.52847,2.12943,0.91566,0.99609,0.995,0.92023,0.41216,0.48542,1.90195,0.00055188,0.00055188,0.00055188
64,107.548,0.56135,0.5624,2.1172,0.98753,0.99753,0.995,0.90353,0.44187,0.488,1.94471,0.000537733,0.000537733,0.000537733
65,108.623,0.65388,0.59672,2.27463,0.87613,1,0.96167,0.85849,0.47556,0.52042,1.99642,0.000523586,0.000523586,0.000523586
66,109.719,0.56616,0.53752,2.15365,0.87644,0.93333,0.94929,0.85552,0.4767,0.53178,2.01238,0.000509438,0.000509438,0.000509438
67,110.847,0.57612,0.5473,2.30827,0.89246,0.98714,0.97278,0.87466,0.46212,0.50711,2.02226,0.000495291,0.000495291,0.000495291
68,112.08,0.48755,0.49594,2.10255,0.9663,0.93333,0.98389,0.89206,0.43873,0.49062,2.03609,0.000481144,0.000481144,0.000481144
69,113.468,0.5227,0.50421,2.22938,0.97098,0.93034,0.98389,0.88443,0.44236,0.49459,2.06428,0.000466997,0.000466997,0.000466997
70,114.541,0.49411,0.51071,2.12368,0.90136,0.98968,0.97278,0.88565,0.43537,0.48219,2.06772,0.00045285,0.00045285,0.00045285
71,115.6,0.51364,0.49895,2.18302,0.9036,1,0.97278,0.89557,0.42314,0.48698,2.08604,0.000438703,0.000438703,0.000438703
72,116.696,0.48813,0.44955,2.17794,0.90162,1,0.97278,0.9041,0.41223,0.49031,2.10097,0.000424556,0.000424556,0.000424556
73,117.748,0.48127,0.44785,2.18225,0.90525,0.99442,0.97278,0.89986,0.40519,0.48707,2.09857,0.000410409,0.000410409,0.000410409
74,118.859,0.53662,0.49206,1.99736,0.90066,0.98969,0.97278,0.89707,0.39526,0.47788,2.11025,0.000396262,0.000396262,0.000396262
75,119.945,0.53687,0.50382,2.0993,0.89991,0.99028,0.97278,0.90441,0.38687,0.46347,2.12299,0.000382115,0.000382115,0.000382115
76,121.059,0.52088,0.44638,2.12306,0.90572,0.99396,0.96167,0.89097,0.38811,0.43645,2.14291,0.000367967,0.000367967,0.000367967
77,122.216,0.49886,0.46352,2.25669,0.90833,1,0.97278,0.90543,0.39203,0.41625,2.16428,0.00035382,0.00035382,0.00035382
78,123.332,0.54469,0.52304,2.30778,0.90934,1,0.97278,0.90207,0.39806,0.40106,2.1855,0.000339673,0.000339673,0.000339673
79,124.427,0.59823,0.51296,2.34225,0.90975,1,0.97278,0.911,0.40336,0.40046,2.18103,0.000325526,0.000325526,0.000325526
80,125.674,0.53823,0.47609,2.26362,0.90341,1,0.98389,0.92531,0.40646,0.39388,2.19044,0.000311379,0.000311379,0.000311379
81,126.843,0.52863,0.47048,2.37337,0.97773,0.92529,0.98389,0.91815,0.41388,0.39882,2.17668,0.000297232,0.000297232,0.000297232
82,128.12,0.47938,0.45258,2.08979,0.98256,0.93232,0.98389,0.9205,0.40138,0.41194,2.18914,0.000283085,0.000283085,0.000283085
83,129.369,0.48775,0.46822,2.0882,0.97067,0.98542,0.995,0.9302,0.38817,0.40341,2.17724,0.000268938,0.000268938,0.000268938
84,130.567,0.44812,0.44574,2.03397,0.90937,1,0.98389,0.92658,0.37931,0.40683,2.1448,0.000254791,0.000254791,0.000254791
85,131.909,0.49578,0.46365,2.16423,0.97238,0.99575,0.995,0.91433,0.3788,0.3957,2.1435,0.000240644,0.000240644,0.000240644
86,133.262,0.50154,0.47057,2.04001,0.97503,0.99893,0.995,0.91361,0.37868,0.39887,2.14,0.000226497,0.000226497,0.000226497
87,134.435,0.53763,0.49081,2.35425,0.97284,1,0.995,0.91195,0.37069,0.39379,2.12692,0.000212349,0.000212349,0.000212349
88,135.652,0.47797,0.46061,2.16636,0.97239,1,0.995,0.91712,0.36207,0.38975,2.10917,0.000198202,0.000198202,0.000198202
89,136.971,0.482,0.47099,2.25469,0.97383,1,0.995,0.91053,0.36619,0.39248,2.11727,0.000184055,0.000184055,0.000184055
90,138.153,0.57214,0.50809,2.27087,0.9749,1,0.995,0.91128,0.37132,0.39648,2.13383,0.000169908,0.000169908,0.000169908
91,164.534,0.34951,0.53501,1.68436,0.97649,0.99292,0.995,0.90446,0.379,0.40027,2.15437,0.000155761,0.000155761,0.000155761
92,165.699,0.33335,0.49027,1.65834,0.96978,0.99028,0.995,0.9243,0.37893,0.38522,2.15831,0.000141614,0.000141614,0.000141614
93,166.741,0.29509,0.46487,1.76312,0.97477,1,0.995,0.94271,0.36963,0.37459,2.14447,0.000127467,0.000127467,0.000127467
94,167.828,0.2921,0.49556,1.55434,0.97779,1,0.995,0.94283,0.36236,0.36119,2.13537,0.00011332,0.00011332,0.00011332
95,168.896,0.28028,0.42759,1.55541,0.98258,1,0.995,0.94339,0.35606,0.34945,2.13012,9.91726e-05,9.91726e-05,9.91726e-05
96,169.998,0.26793,0.40041,1.64276,0.98448,1,0.995,0.94599,0.34745,0.34364,2.11686,8.50255e-05,8.50255e-05,8.50255e-05
97,171.06,0.2372,0.36775,1.51764,0.98489,1,0.995,0.95899,0.33871,0.3384,2.10279,7.08784e-05,7.08784e-05,7.08784e-05
98,172.094,0.23305,0.35621,1.56073,0.98551,1,0.995,0.95442,0.33593,0.33654,2.09697,5.67313e-05,5.67313e-05,5.67313e-05
99,173.133,0.24441,0.38036,1.54017,0.98608,1,0.995,0.96196,0.33354,0.33517,2.09397,4.25842e-05,4.25842e-05,4.25842e-05
100,174.183,0.26756,0.3834,1.65307,0.98638,1,0.995,0.95394,0.33472,0.33505,2.09927,2.84371e-05,2.84371e-05,2.84371e-05
