epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.35837,1.73309,3.7207,3.08425,0.02014,0.84127,0.1069,0.06844,1.06599,3.55146,3.11477,5.716e-05,5.716e-05,5.716e-05
2,5.79657,1.61255,3.5168,2.95275,0.52776,0.16667,0.37621,0.22695,0.90961,2.852,2.6265,0.000127337,0.000127337,0.000127337
3,7.81355,1.44945,2.86947,2.50388,0.42474,0.64989,0.5593,0.38883,0.786,2.23417,2.31573,0.000196099,0.000196099,0.000196099
4,9.56712,1.21953,2.3644,2.40153,0.48293,0.73016,0.67752,0.45253,0.82259,2.20794,2.19183,0.000263446,0.000263446,0.000263446
5,11.4216,1.18849,2.15004,2.23167,0.53067,0.71872,0.7539,0.49736,0.90675,2.07775,2.12368,0.000329379,0.000329379,0.000329379
6,12.9485,1.16105,1.87494,2.38046,0.66619,0.64683,0.79641,0.56357,0.7983,2.11701,2.3415,0.000393897,0.000393897,0.000393897
7,14.4987,1.16798,1.80048,2.47616,0.69414,0.80556,0.77203,0.59911,0.68369,2.23362,2.39106,0.000457,0.000457,0.000457
8,16.1279,0.98919,1.47475,2.08986,0.98371,0.58333,0.74088,0.53635,0.80186,2.27827,2.08101,0.000518688,0.000518688,0.000518688
9,17.6265,1.05327,1.56636,2.27595,0.61741,1,0.76692,0.56473,0.79554,2.53468,2.10776,0.000578962,0.000578962,0.000578962
10,19.1026,1.06545,1.41078,2.35429,0.88936,0.97146,0.9675,0.6067,0.91371,2.25809,2.00774,0.000637821,0.000637821,0.000637821
11,20.6808,1.07455,1.28206,2.34467,0.88192,1,0.9675,0.67755,0.7954,2.15233,1.99453,0.000695266,0.000695266,0.000695266
12,22.227,1.01809,1.31558,2.29696,0.97621,0.99826,0.995,0.71695,0.88894,1.49267,2.32137,0.000751295,0.000751295,0.000751295
13,23.681,0.97385,1.19088,2.30727,0.78631,1,0.91433,0.64232,0.85714,1.49147,2.23224,0.00080591,0.00080591,0.00080591
14,25.0788,0.98894,1.18678,2.2526,0.755,0.98308,0.87714,0.64873,0.79722,3.07951,2.15772,0.000859111,0.000859111,0.000859111
15,26.6576,1.03566,1.26223,2.31913,0.89805,0.92886,0.96306,0.67281,0.86155,0.98183,2.4356,0.000910896,0.000910896,0.000910896
16,27.853,0.98247,1.14374,2.4109,0.85841,0.84306,0.90989,0.66475,0.75908,0.89708,2.31432,0.000961267,0.000961267,0.000961267
17,29.0418,0.94284,1.122,2.11759,0.80718,0.93863,0.885,0.65384,0.86165,0.98718,2.21557,0.00101022,0.00101022,0.00101022
18,30.2159,0.94796,1.01995,2.15149,0.79003,0.85002,0.885,0.65081,0.90278,0.97729,2.1923,0.00105776,0.00105776,0.00105776
19,31.3477,0.97399,1.05027,2.18732,0.85672,0.97253,0.907,0.65729,0.88556,0.94196,2.15431,0.00110389,0.00110389,0.00110389
20,32.5303,0.90581,0.99205,2.08825,0.84054,0.94474,0.995,0.6743,0.85667,1.31833,2.46264,0.0011486,0.0011486,0.0011486
21,33.7593,1.00123,1.04648,2.23796,0.77671,0.98578,0.951,0.64079,0.87475,1.13696,2.36616,0.00114606,0.00114606,0.00114606
22,34.9175,0.94593,1.00755,2.27251,0.80545,0.97709,0.995,0.67002,0.8794,1.22751,2.15597,0.00113191,0.00113191,0.00113191
23,36.1411,0.96465,0.98891,2.2497,0.88358,0.86879,0.995,0.72046,0.79683,1.08861,2.13268,0.00111776,0.00111776,0.00111776
24,37.3643,0.93153,0.95062,2.22465,0.89437,0.94861,0.9675,0.68429,0.77096,0.73577,2.16523,0.00110362,0.00110362,0.00110362
25,38.5539,0.85382,0.86059,2.11711,0.89821,0.93276,0.94,0.7019,0.81682,0.7717,2.11337,0.00108947,0.00108947,0.00108947
26,39.7754,0.86823,0.84172,2.03491,0.90276,0.92333,0.94,0.76607,0.71873,0.74908,2.06266,0.00107532,0.00107532,0.00107532
27,41.4472,0.81102,0.78827,2.16906,0.90009,0.92192,0.9675,0.80142,0.60004,0.73987,2.09839,0.00106118,0.00106118,0.00106118
28,42.7084,0.88504,0.84472,2.30191,0.90167,0.93088,0.9675,0.79266,0.63823,0.70269,2.02281,0.00104703,0.00104703,0.00104703
29,44.0361,0.83439,0.79161,2.09187,0.98859,0.92542,0.995,0.76257,0.68421,0.72734,2.06852,0.00103288,0.00103288,0.00103288
30,45.2267,0.74583,0.6901,2.00971,0.95143,0.81068,0.951,0.70631,0.75479,0.79657,2.13905,0.00101873,0.00101873,0.00101873
31,46.5103,0.74144,0.71826,1.98699,0.99029,0.89891,0.995,0.76536,0.72815,0.68989,2.12929,0.00100459,0.00100459,0.00100459
32,47.7539,0.8325,0.74395,2.0082,0.9742,0.93072,0.995,0.81132,0.63109,0.63573,1.97592,0.00099044,0.00099044,0.00099044
33,48.9413,0.80182,0.74771,2.13607,0.96231,0.92302,0.995,0.80037,0.64324,0.64348,1.99612,0.000976293,0.000976293,0.000976293
34,50.0835,0.70628,0.68413,2.01216,0.97931,0.92049,0.995,0.80564,0.61139,0.64654,2.03765,0.000962146,0.000962146,0.000962146
35,51.3767,0.74235,0.73974,1.94474,0.9746,0.92062,0.995,0.81466,0.61604,0.63582,2.08214,0.000947999,0.000947999,0.000947999
36,52.7,0.8183,0.74465,2.12982,0.97678,0.9232,0.995,0.7836,0.72632,0.61074,1.98658,0.000933851,0.000933851,0.000933851
37,54.0873,0.73239,0.69752,1.99102,0.99723,0.89665,0.995,0.80131,0.70503,0.58374,2.01721,0.000919704,0.000919704,0.000919704
38,55.2901,0.75826,0.74234,1.99332,0.98438,0.93389,0.995,0.82509,0.63454,0.55837,2.06015,0.000905557,0.000905557,0.000905557
39,56.5312,0.71343,0.69397,2.0263,0.97256,0.9415,0.995,0.81914,0.62458,0.57395,2.09574,0.00089141,0.00089141,0.00089141
40,57.9463,0.64774,0.67166,1.86201,0.89658,0.93771,0.94,0.77438,0.62655,0.61234,2.11218,0.000877263,0.000877263,0.000877263
41,59.1571,0.76715,0.68467,2.04919,0.89237,0.94255,0.91208,0.73746,0.65854,0.61689,2.11724,0.000863116,0.000863116,0.000863116
42,60.5781,0.77123,0.68609,2.09213,0.90144,0.93793,0.94,0.75724,0.64542,0.5711,2.08415,0.000848969,0.000848969,0.000848969
43,61.7862,0.70403,0.63497,1.99586,0.83762,0.99772,0.9675,0.80184,0.62456,0.54511,2.1077,0.000834822,0.000834822,0.000834822
44,63.041,0.72552,0.66586,2.06886,0.93852,0.94723,0.995,0.8598,0.55131,0.56316,1.92856,0.000820675,0.000820675,0.000820675
45,64.2716,0.72384,0.70743,2.20058,0.941,0.96248,0.995,0.88486,0.51074,0.58916,1.83358,0.000806528,0.000806528,0.000806528
