epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.30954,1.50361,3.94566,2.48206,0.26354,0.2,0.03703,0.02312,0.96947,3.32854,1.54903,6.25e-05,6.25e-05,6.25e-05
2,6.22052,1.18965,3.60551,1.99873,0.55719,0.2,0.51809,0.39817,0.74002,2.86537,1.46527,0.000136139,0.000136139,0.000136139
3,8.30027,0.94301,2.67982,2.00022,0.6066,0.83771,0.81365,0.6077,0.72248,2.01394,1.44917,0.000208293,0.000208293,0.000208293
4,9.99375,0.82209,2.01039,1.85426,0.45911,0.875,0.81719,0.65499,0.58011,1.83114,1.25255,0.000278961,0.000278961,0.000278961
5,11.6604,0.8914,1.78967,1.886,0.67984,0.875,0.82655,0.6775,0.61104,1.47048,1.3058,0.000348145,0.000348145,0.000348145
6,13.2898,0.75345,1.39794,1.69711,0.96877,0.75,0.87676,0.72886,0.66233,1.21557,1.38757,0.000415844,0.000415844,0.000415844
7,14.7121,0.83077,1.4335,1.94611,0.81418,0.80904,0.86702,0.71486,0.62778,1.21525,1.35017,0.000482057,0.000482057,0.000482057
8,16.1547,0.86504,1.30068,1.94097,0.69059,0.875,0.90125,0.72999,0.62033,1.30417,1.34178,0.000546786,0.000546786,0.000546786
9,17.5983,0.81822,1.1292,1.82643,0.70171,0.98586,0.95333,0.72126,0.71589,1.08608,1.50752,0.00061003,0.00061003,0.00061003
10,19.0042,0.80646,1.16883,1.91197,0.8496,0.89848,0.95333,0.74441,0.68056,0.87499,1.52545,0.000671789,0.000671789,0.000671789
11,20.4054,0.73277,1.08751,1.91455,0.80999,0.99316,0.95333,0.79214,0.6437,1.22003,1.54636,0.000732063,0.000732063,0.000732063
12,21.7841,0.78665,1.03696,1.94326,0.84629,0.89829,0.95333,0.78101,0.54875,1.10142,1.43866,0.000790851,0.000790851,0.000790851
13,23.1452,0.75274,1.04462,1.84995,0.87693,1,0.995,0.79935,0.57518,0.69995,1.38801,0.000848155,0.000848155,0.000848155
14,24.522,0.67178,0.90257,1.85041,0.92249,0.98312,0.995,0.72451,0.64844,0.65539,1.46033,0.000903974,0.000903974,0.000903974
15,25.8332,0.74112,0.92625,1.92593,0.95062,0.99691,0.995,0.72693,0.66036,0.63359,1.47016,0.000958307,0.000958307,0.000958307
16,27.1794,0.71827,0.81689,1.76739,0.96615,1,0.995,0.81778,0.49801,0.54907,1.33574,0.00101116,0.00101116,0.00101116
17,28.4826,0.68107,0.81169,1.72033,0.94586,0.99451,0.995,0.83683,0.49037,0.48435,1.27032,0.001052,0.001052,0.001052
18,29.8109,0.68752,0.8368,1.70138,0.95825,0.99301,0.995,0.8408,0.50518,0.53324,1.28114,0.00103962,0.00103962,0.00103962
19,31.1242,0.66695,0.82238,1.65196,0.96722,0.99254,0.995,0.88573,0.47201,0.77634,1.26927,0.00102725,0.00102725,0.00102725
20,32.421,0.70466,0.81779,1.7753,0.83536,1,0.95333,0.8654,0.45737,0.55903,1.29735,0.00101488,0.00101488,0.00101488
21,33.7331,0.64061,0.76234,1.71935,0.7857,0.98986,0.91208,0.80627,0.50129,0.51508,1.34725,0.0010025,0.0010025,0.0010025
22,35.0264,0.60422,0.67721,1.68845,0.76144,0.92347,0.95333,0.80588,0.54515,0.48336,1.45232,0.000990125,0.000990125,0.000990125
23,36.3323,0.60137,0.64954,1.62231,0.90811,0.99144,0.995,0.80566,0.57902,0.4656,1.48309,0.00097775,0.00097775,0.00097775
24,37.653,0.64574,0.73142,1.71525,0.8896,1,0.91208,0.78433,0.5847,0.45333,1.46687,0.000965375,0.000965375,0.000965375
25,38.9194,0.72027,0.74158,1.7184,0.87568,1,0.95333,0.80582,0.61722,0.44799,1.47616,0.000953,0.000953,0.000953
26,40.2514,0.6503,0.67964,1.65606,0.93854,0.92403,0.995,0.83706,0.58692,0.55692,1.36868,0.000940625,0.000940625,0.000940625
27,41.5497,0.67981,0.71406,1.72359,0.94631,0.9848,0.995,0.83758,0.61212,0.49134,1.40789,0.00092825,0.00092825,0.00092825
28,42.838,0.60145,0.62631,1.64769,0.9393,1,0.995,0.84936,0.55779,0.49998,1.44051,0.000915875,0.000915875,0.000915875
29,44.0881,0.65218,0.69759,1.76072,0.90331,0.98014,0.995,0.84817,0.57133,0.52144,1.51495,0.0009035,0.0009035,0.0009035
30,45.4097,0.67221,0.66033,1.75986,0.97114,1,0.995,0.84699,0.53702,0.46078,1.46628,0.000891125,0.000891125,0.000891125
31,46.6953,0.62323,0.65526,1.76814,0.95647,1,0.995,0.8585,0.52549,0.45276,1.4261,0.00087875,0.00087875,0.00087875
32,48.0072,0.635,0.66124,1.68851,0.95281,1,0.995,0.86649,0.54414,0.42831,1.41786,0.000866375,0.000866375,0.000866375
33,49.2903,0.58684,0.61344,1.71982,0.94528,1,0.995,0.84911,0.53419,0.43559,1.39557,0.000854,0.000854,0.000854
34,50.6033,0.54989,0.58155,1.60234,0.93035,1,0.995,0.85904,0.54581,0.41641,1.37368,0.000841625,0.000841625,0.000841625
